NO.,hostile_offline,hostile_online,aggression
709,0,0,0.388888889
710,0,0.066666667,0.25
711,0,0,0.416666667
712,0,0,0.527777778
713,0.055555556,0.033333333,0.472222222
714,0.111111111,0.066666667,0.180555556
715,0,0,0.138888889
716,0.111111111,0,0.166666667
717,0.111111111,0.066666667,0.291666667
718,0,0.033333333,0.361111111
719,0,0,0.555555556
720,0.055555556,0.033333333,0.263888889
721,0,0,0.333333333
722,0.166666667,0.033333333,0.569444444
723,0,0,0.277777778
724,0,0,0.277777778
725,0,0,0.138888889
726,0,0.033333333,0.25
727,0,0,0.25
728,0,0.133333333,0.194444444
729,0,0,0.208333333
730,0,0.066666667,0.333333333
731,0.055555556,0,0.5
732,0,0,0.125
733,0,0,0.444444444
734,0,0.033333333,0.180555556
735,0,0,0.25
736,0.055555556,0.033333333,0.361111111
737,0.055555556,0,0.138888889
738,0,0.133333333,0.263888889
739,0.055555556,0,0.347222222
740,0,0,0.513888889
741,0.055555556,0.066666667,0.5
742,0,0,0.222222222
743,0,0,0.236111111
744,0,0,0.055555556
745,0,0,0.333333333
746,0.055555556,0,0.236111111
747,0,0,0.180555556
748,0.055555556,0,0.388888889
749,0.055555556,0.033333333,0.138888889
750,0.055555556,0.033333333,0.222222222
751,0,0,0.472222222
752,0,0.1,0.347222222
753,0,0,0.055555556
754,0.388888889,0,0.319444444
755,0.555555556,0.433333333,0.583333333
756,0.055555556,0,0.583333333
757,0.111111111,0.066666667,0.388888889
758,0,0,0.861111111
759,0.055555556,0,0.152777778
760,0.222222222,0.4,0.444444444
761,0,0,0.166666667
762,0,0,0.277777778
763,0.055555556,0.033333333,0.555555556
764,0,0,0.111111111
765,0.111111111,0,0.291666667
766,0,0,0.569444444
767,0,0,0.083333333
768,0.055555556,0.066666667,0.611111111
769,0.166666667,0.433333333,0.5
770,0,0,0.583333333
771,0.222222222,0.033333333,0.375
772,0,0,0.208333333
773,0.111111111,0.033333333,0.402777778
774,0,0,0.458333333
775,0,0,0.25
776,0,0,0.444444444
777,0,0.133333333,0.25
778,0.166666667,0.466666667,0.416666667
779,0,0,0.208333333
780,0,0,0.458333333
781,0,0,0.458333333
782,0,0,0.222222222
783,0,0,0.472222222
784,0,0,0.388888889
785,0.055555556,0,0.305555556
786,0,0,0.347222222
787,0,0,0.347222222
788,0.055555556,0.1,0.263888889
789,0,0.033333333,0.763888889
790,0,0.133333333,0.402777778
791,0,0,0.222222222
792,0,0,0.152777778
793,0,0,0.430555556
794,0,0,0.263888889
795,0,0,0.444444444
796,0,0,0.194444444
797,0,0,0.152777778
798,0,0,0.375
799,0,0,0.194444444
800,0.055555556,0.166666667,0.513888889
801,0,0,0.180555556
802,0.166666667,0,0.180555556
803,0.833333333,0.766666667,0.75
804,0.111111111,0,0.541666667
805,0.055555556,0,0.458333333
806,0,0,0.666666667
807,0,0,0.083333333
808,0.111111111,0,0.375
809,0.055555556,0,0.208333333
810,0,0,0.319444444
811,0,0,0.5
812,0,0,0.055555556
813,0,0,0.666666667
814,0,0,0.083333333
815,0,0,0.208333333
816,0,0,0.527777778
817,0,0,0.388888889
818,0,0,0.388888889
819,0.055555556,0,0.25
820,0,0.033333333,0.444444444
821,0,0,0.138888889
822,0,0,0.180555556
823,0.055555556,0,0.680555556
824,0,0,0.152777778
825,0,0,0.402777778
826,0.055555556,0.033333333,0.375
827,0.111111111,0.066666667,0.611111111
828,0.055555556,0.033333333,0.458333333
829,0,0,0.152777778
830,0,0,0.444444444
831,0,0,0.222222222
832,0.388888889,0.166666667,0.152777778
833,0,0,0.166666667
834,0.055555556,0.066666667,0.138888889
835,0,0.033333333,0.319444444
836,0,0,0.180555556
837,0,0,0.472222222
838,0,0,0.597222222
839,0.111111111,0.133333333,0.583333333
840,0,0,0.597222222
841,0.055555556,0.1,0.430555556
842,0,0,0.125
843,0,0,0.208333333
844,0,0,0.319444444
845,0,0,0.486111111
846,0.055555556,0.066666667,0.541666667
847,0.444444444,0.466666667,0.5
848,0,0,0.263888889
849,0.166666667,0,0.305555556
850,0,0.066666667,0.347222222
851,0,0,0.083333333
852,0,0,0.319444444
853,0.111111111,0.033333333,0.472222222
854,0,0.033333333,0.208333333
855,0.444444444,0.366666667,0.916666667
856,0,0,0.388888889
857,0.111111111,0.033333333,0.333333333
858,0,0,0.166666667
859,0,0,0.041666667
860,0,0,0.319444444
861,0.277777778,0,0.611111111
862,0.333333333,0.333333333,0.361111111
863,0.166666667,0.266666667,0.527777778
864,0,0.333333333,0.388888889
